time,x,y,z
2.662,-0.01,-0.00,0.00
2.679,0.00,-0.02,-0.02
2.680,-0.00,0.00,0.00
2.688,-0.00,0.00,0.01
2.691,0.01,0.01,-0.01
2.691,0.02,0.00,-0.02
2.692,-0.01,-0.00,-0.01
2.693,-0.00,0.00,-0.00
2.699,-0.00,0.01,-0.01
2.705,0.01,0.01,0.00
2.707,0.00,-0.00,-0.00
2.712,0.01,0.02,-0.00
2.726,-0.01,-0.00,-0.01
2.727,0.02,0.00,0.00
2.728,-0.00,0.01,0.00
2.735,0.00,0.00,-0.01
2.736,0.01,0.01,0.00
2.737,-0.00,0.02,-0.00
2.747,0.00,-0.00,0.00
2.750,-0.00,-0.00,-0.00
2.751,-0.00,0.00,0.01
2.757,0.01,-0.00,0.00
2.759,-0.00,0.01,-0.00
2.764,-0.01,0.00,0.01
2.768,0.01,-0.00,-0.00
2.786,-0.02,0.01,0.00
2.788,0.01,0.00,-0.01
2.792,0.00,0.01,0.00
2.793,0.00,0.00,0.00
2.795,-0.01,-0.00,-0.01
2.795,-0.01,0.01,0.00
2.800,0.01,0.00,-0.01
2.804,0.00,0.00,0.01
2.808,-0.00,-0.00,-0.01
2.812,0.00,0.01,0.00
2.821,0.01,0.03,-0.01
2.822,-0.00,0.01,0.01
2.825,-0.00,0.00,-0.01
2.830,-0.00,0.00,-0.01
2.835,0.02,0.00,-0.00
2.843,0.01,0.01,-0.01
2.847,0.01,-0.00,-0.00
2.848,-0.01,0.00,0.00
2.862,0.01,-0.01,-0.00
2.863,-0.00,0.00,0.01
2.863,-0.01,0.00,0.00
2.867,-0.00,0.01,-0.01
2.883,0.01,-0.00,-0.01
2.885,0.01,0.01,-0.00
2.886,0.02,0.01,-0.00
2.887,0.00,-0.02,0.00
2.889,-0.00,0.00,0.00
2.892,0.01,0.01,-0.00
2.897,-0.00,0.00,0.01
2.901,-0.01,0.01,0.00
2.908,0.00,-0.02,0.01
2.917,0.01,0.01,-0.00
2.918,-0.01,0.01,0.00
2.920,-0.00,0.00,-0.00
2.928,0.00,-0.00,0.00
2.929,0.01,0.00,0.00
2.933,-0.01,0.01,-0.00
2.938,0.01,0.01,-0.01
2.941,-0.00,-0.01,-0.00
2.945,0.00,0.00,-0.00
2.951,0.01,0.02,0.01
2.957,0.02,0.00,-0.01
2.958,-0.01,-0.00,0.02
2.964,0.01,0.01,-0.01
2.969,0.00,0.00,0.00
3.005,-0.01,-0.00,0.01
3.010,-0.01,-0.01,-0.00
